Release 8.1i - Fit P.68d
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

 8-19-2016  0:57AM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  RAMCtrl.ngd
output file: RAMCtrl_pad.csv
Part type:   xc95144xl
Speed grade: -10
Package:     tq100

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P30,WE<0>,O,I/O,OUTPUT,,,,,,,,,
P31,GND,,GND,,,,,,,,,,
P32,OE<0>,O,I/O,OUTPUT,,,,,,,,,
P33,WE<1>,O,I/O,OUTPUT,,,,,,,,,
P34,OE<1>,O,I/O,OUTPUT,,,,,,,,,
P35,TIE,,I/O,,,,,,,,,,
P36,TIE,,I/O,,,,,,,,,,
P37,TIE,,I/O,,,,,,,,,,
P38,VCC,,VCCIO,,,,,,,,,,
P39,IDE_WAIT,I,I/O,INPUT,,,,,,,,,
P40,IO4,O,I/O,OUTPUT,,,,,,,,,
P41,IO5,O,I/O,OUTPUT,,,,,,,,,
P42,INT2,O,I/O,OUTPUT,,,,,,,,,
P43,TIE,,I/O,,,,,,,,,,
P44,GND,,GND,,,,,,,,,,
P45,TDI,,TDI,,,,,,,,,,
P46,TIE,,I/O,,,,,,,,,,
P47,TMS,,TMS,,,,,,,,,,
P48,TCK,,TCK,,,,,,,,,,
P49,CIIN,O,I/O,OUTPUT,,,,,,,,,
P50,A<2>,I,I/O,INPUT,,,,,,,,,
P51,VCC,,VCCIO,,,,,,,,,,
P52,A<1>,I,I/O,INPUT,,,,,,,,,
P53,A<0>,I,I/O,INPUT,,,,,,,,,
P54,A<5>,I,I/O,INPUT,,,,,,,,,
P55,A<4>,I,I/O,INPUT,,,,,,,,,
P56,A<3>,I,I/O,INPUT,,,,,,,,,
P57,VCC,,VCCINT,,,,,,,,,,
P58,TIE,,I/O,,,,,,,,,,
P59,A<19>,I,I/O,INPUT,,,,,,,,,
P60,A<6>,I,I/O,INPUT,,,,,,,,,
P61,A<11>,I,I/O,INPUT,,,,,,,,,
P62,GND,,GND,,,,,,,,,,
P63,A<10>,I,I/O,INPUT,,,,,,,,,
P64,A<9>,I,I/O,INPUT,,,,,,,,,
P65,TIE,,I/O,,,,,,,,,,
P66,A<13>,I,I/O,INPUT,,,,,,,,,
P67,A<12>,I,I/O,INPUT,,,,,,,,,
P68,A<16>,I,I/O,INPUT,,,,,,,,,
P69,GND,,GND,,,,,,,,,,
P70,TIE,,I/O,,,,,,,,,,
P71,A<17>,I,I/O,INPUT,,,,,,,,,
P72,A<20>,I,I/O,INPUT,,,,,,,,,
P73,TIE,,I/O,,,,,,,,,,
P74,A<18>,I,I/O,INPUT,,,,,,,,,
P75,GND,,GND,,,,,,,,,,
P76,A<23>,I,I/O,INPUT,,,,,,,,,
P77,A<22>,I,I/O,INPUT,,,,,,,,,
P78,A<21>,I,I/O,INPUT,,,,,,,,,
P79,A<26>,I,I/O,INPUT,,,,,,,,,
P80,TIE,,I/O,,,,,,,,,,
P81,A<24>,I,I/O,INPUT,,,,,,,,,
P82,A<29>,I,I/O,INPUT,,,,,,,,,
P83,TDO,,TDO,,,,,,,,,,
P84,GND,,GND,,,,,,,,,,
P85,A<27>,I,I/O,INPUT,,,,,,,,,
P86,A<28>,I,I/O,INPUT,,,,,,,,,
P87,A<31>,I,I/O,INPUT,,,,,,,,,
P88,VCC,,VCCIO,,,,,,,,,,
P89,A<30>,I,I/O,INPUT,,,,,,,,,
P90,STERM,O,I/O,OUTPUT,,,,,,,,,
P91,IDE_CS<0>,O,I/O,OUTPUT,,,,,,,,,
P92,IDE_CS<1>,O,I/O,OUTPUT,,,,,,,,,
P93,IDE_A<0>,O,I/O,OUTPUT,,,,,,,,,
P94,IDE_A<2>,O,I/O,OUTPUT,,,,,,,,,
P95,IDE_A<1>,O,I/O,OUTPUT,,,,,,,,,
P96,IDE_R,O,I/O,OUTPUT,,,,,,,,,
P97,IDE_W,O,I/O,OUTPUT,,,,,,,,,
P98,VCC,,VCCINT,,,,,,,,,,
P99,reset,GSR/I,I/O/GSR,,,,,,,,,,
P100,GND,,GND,,,,,,,,,,

To preserve the pinout above for future design iterations in
Project Navigator simply execute the (Lock Pins) process
located under the (Implement Design) process in a toolbox named
(Optional Implementation Tools) or invoke PIN2UCF from the
command line. The location constraints will be written into your
specified UCF file


